20150803,20150901,20151001,20151102,20151201,20160104,20160201,20160302,20160401,20160502,20160601,20160701,20160801,20160901,20161004,20161101,20161201,20170102,20170201,20170302,20170403,20170502,20170601,20170703,20170801,20170901,20171010,20171101,20171201,20180102,20180201,20180302,20180402,20180502,20180601,20180702,20180801,20180903,20181001,20181101,20181203,20190102,20190201,20190304,20190401,20190502,20190603,20190701,20190801,20190902,20191001,20191101,20191202,20200102,20200203,20200302,20200401,20200504,20200601,20200701,20200803,20200901,20201005,20201102,20201201,20210104,20210201,20210302,20210401,20210503,20210601,20210701,20210802,20210901,20211001,20211101,20211201,20220103,20220203,20220302,20220401,20220502,20220602,20220701,20220801,20220901,20221004,20221101,20221201,20230102,20230201,20230302,20230403,20230502,20230601,20230703,20230801,20230901,20231004,20231101,20231201,20240102,20240201,20240304,20240401,20240502,20240603,20240701,20240801,20240902,20241002,20241101,20241202,20250102,20250203,20250304,20250401,20250502,20250602,20250701,20250801,20250901,20251001,20251103,20251201,20260102,20260202
A016100,A016100,A016100,A016100,A016100,A016170,A016170,A016170,A016170,A016170,A016170,A016250,A016250,A016250,A016250,A016250,A016250,A016170,A016170,A016170,A016170,A016170,A016170,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A016170,A016170,A016250,A016250,A016250,A016250,A016100,A016100,A016100,A016100,A016100,A016250,A016250,A016250,A016250,A016250,A016250,A016250,A022100,A022100,A022100,A022100,A022100,A022100,A025900,A025900,A025900,A025900,A025900,A025900,A028300,A028300,A028300,A028300,A028300,A028300,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A027360,A028300,A028300,A028300,A028300,A028300,A028300,A027360,A027360,A027360,A027360,A025980,A025980,A025900,A025900,A025900,A025900,A025900,A025900,A028300,A028300,A028300,A028300,A030520,A030520,A025980,A025980,A025980,A025980,A025980,A025980,A028300,A028300,A028300,A028300,A028300,A028300,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980
A016170,A016170,A016170,A016170,A016170,A016250,A016250,A016250,A016250,A016250,A016250,A018310,A018310,A018310,A018310,A018310,A018310,A016250,A016250,A016250,A016250,A016250,A016250,A019210,A019210,A019210,A019210,A019210,A019210,A018000,A018000,A018000,A018000,A018000,A018000,A016250,A016250,A018000,A018000,A018000,A018000,A016250,A016250,A016250,A016250,A016250,A018000,A019210,A019210,A019210,A019210,A019210,A019210,A023160,A023160,A023160,A023160,A023160,A023160,A025980,A025980,A025980,A025980,A025980,A025980,A029960,A029960,A029960,A029960,A029960,A029960,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A029960,A029960,A029960,A029960,A029960,A029960,A028300,A028300,A028300,A028300,A027360,A027360,A025980,A025980,A025980,A025980,A025980,A025980,A030520,A030520,A030520,A030520,A031980,A031980,A028300,A028300,A028300,A028300,A028300,A028300,A030520,A030520,A030520,A030520,A030520,A030520,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300
A016250,A016250,A016250,A016250,A016250,A018310,A018310,A018310,A018310,A018310,A018310,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A019210,A022100,A022100,A022100,A022100,A022100,A022100,A019210,A019210,A019210,A019210,A019210,A019210,A018000,A018000,A019210,A019210,A019210,A019210,A018000,A018000,A018000,A018000,A018000,A019210,A022100,A022100,A022100,A022100,A022100,A022100,A023410,A023410,A023410,A023410,A023410,A023410,A028150,A028150,A028150,A028150,A028150,A028150,A030190,A030190,A030190,A030190,A030190,A030190,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A029960,A030190,A030190,A030190,A030190,A030190,A030190,A029960,A029960,A029960,A029960,A028300,A028300,A027360,A027360,A027360,A027360,A027360,A027360,A032190,A032190,A032190,A031980,A032190,A032190,A030520,A030520,A030520,A030520,A030520,A030520,A031980,A031980,A031980,A031980,A031980,A031980,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520
A018310,A018310,A018310,A018310,A018310,A019210,A019210,A019210,A019210,A019210,A019210,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A023160,A023160,A023160,A023160,A023160,A023160,A022100,A022100,A022100,A022100,A022100,A022100,A019210,A019210,A022100,A022100,A022100,A022100,A019210,A019210,A019210,A019210,A019210,A022100,A023160,A023160,A023160,A023160,A023160,A023160,A025900,A025900,A025900,A025900,A025900,A025900,A028300,A028300,A028300,A028300,A028300,A028300,A030530,A030530,A030530,A030530,A030530,A030530,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030190,A030530,A030530,A030520,A030520,A030520,A030520,A030190,A030190,A030190,A030190,A029960,A029960,A028300,A028300,A028300,A028300,A028300,A028300,A032500,A032500,A032500,A032190,A032500,A032500,A031980,A031980,A031980,A031980,A031980,A031980,A032190,A032190,A032190,A032190,A032190,A032190,A031980,A031980,A031980,A031980,A031980,A031980,A031980,A031980
A019210,A019210,A019210,A019210,A019210,A021320,A021320,A021320,A021320,A021320,A021320,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023160,A023410,A023410,A023410,A023410,A023410,A023410,A023160,A023160,A023160,A023160,A023160,A023160,A022100,A022100,A023160,A023160,A023160,A023160,A022100,A022100,A022100,A022100,A022100,A023160,A023410,A023410,A023410,A023410,A023410,A023410,A025980,A025980,A025980,A025980,A025980,A025980,A029960,A029960,A029960,A029960,A029960,A029960,A031390,A031390,A031390,A031390,A031390,A031390,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A032190,A032190,A030530,A030530,A030530,A030530,A030520,A030520,A030520,A030520,A030190,A030190,A029960,A029960,A029960,A029960,A029960,A029960,A033290,A033290,A033290,A032500,A033290,A033290,A032190,A032190,A032190,A032190,A032190,A032190,A032500,A032500,A032500,A032500,A032500,A032500,A032190,A032190,A032190,A032190,A032190,A032190,A032190,A032190
A021320,A021320,A021320,A021320,A021320,A022100,A022100,A022100,A022100,A022100,A022100,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A024660,A024660,A024660,A024660,A024660,A024660,A023410,A023410,A023410,A023410,A023410,A023410,A023160,A023160,A023410,A023410,A023410,A023410,A023160,A023160,A023160,A023160,A023160,A023410,A025770,A025770,A025770,A025770,A025770,A025770,A028150,A028150,A028150,A028150,A028150,A028150,A030190,A030190,A030190,A030190,A030190,A030190,A032190,A032190,A032190,A032190,A032190,A032190,A031390,A031390,A031390,A031390,A032190,A032190,A032190,A032190,A032190,A032190,A032190,A032190,A032500,A032500,A032190,A032190,A032190,A032190,A030530,A030530,A030530,A030530,A030520,A030520,A030190,A030190,A030520,A030520,A030520,A030520,A033640,A033640,A033640,A033290,A033640,A033640,A032500,A032500,A032500,A032500,A032500,A032500,A033100,A033100,A033100,A033100,A033100,A033100,A032500,A032500,A032500,A032500,A032500,A032500,A032500,A032500
A022100,A022100,A022100,A022100,A022100,A023160,A023160,A023160,A023160,A023160,A023160,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A024660,A025770,A025770,A025770,A025770,A025770,A025770,A024660,A024660,A024660,A024660,A024660,A024660,A023410,A023410,A025770,A025770,A025770,A025770,A023410,A023410,A023410,A023410,A023410,A025770,A025900,A025900,A025900,A025900,A025900,A025900,A028300,A028300,A028300,A028300,A028300,A028300,A030530,A030530,A030530,A030530,A030530,A030530,A032500,A032500,A032500,A032500,A032500,A032500,A032190,A032190,A032190,A032190,A032500,A032500,A032500,A032500,A032500,A032500,A032500,A032500,A033290,A033290,A032500,A032500,A032500,A032500,A032190,A032190,A032190,A032190,A030530,A030530,A030520,A030520,A030530,A030530,A030530,A030530,A034230,A034230,A034230,A033640,A034230,A034230,A033100,A033100,A033100,A033100,A033100,A033100,A033640,A033640,A033640,A033640,A033640,A033640,A033100,A033100,A033100,A033100,A033100,A033100,A032820,A032820
A023160,A023160,A023160,A023160,A023160,A023410,A023410,A023410,A023410,A023410,A023410,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A024950,A025900,A025900,A025900,A025900,A025900,A025900,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025900,A025900,A025900,A025900,A025770,A025770,A025770,A025770,A025770,A025900,A025980,A025980,A025980,A025980,A025980,A025980,A029960,A029960,A029960,A029960,A029960,A029960,A031390,A031390,A031390,A031390,A031390,A031390,A033290,A033290,A033290,A033290,A033290,A033290,A032500,A032500,A032500,A032500,A033290,A033290,A033290,A033290,A033290,A033290,A033290,A033290,A033640,A033640,A033290,A033290,A033290,A033290,A032500,A032500,A032500,A032500,A032190,A032190,A030530,A030530,A032190,A032190,A032190,A032190,A035600,A035600,A035600,A034230,A035600,A035600,A033640,A033640,A033640,A033640,A033640,A033640,A035600,A035600,A035600,A035600,A035600,A035600,A033500,A033500,A033500,A033500,A033500,A033500,A033100,A033100
A023410,A023410,A023410,A023410,A023410,A023890,A023890,A023890,A023890,A024660,A024660,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025770,A025980,A025980,A025980,A025980,A025980,A025980,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025980,A025980,A025980,A025980,A025900,A025900,A025900,A025900,A025900,A025980,A028150,A028150,A028150,A028150,A028150,A028150,A030190,A030190,A030190,A030190,A030190,A030190,A032190,A032190,A032190,A032190,A032190,A032190,A033640,A033640,A033640,A033640,A033640,A033640,A033290,A033290,A033290,A033290,A033640,A033640,A033310,A033310,A033310,A033310,A033310,A033310,A034230,A034230,A033640,A033640,A033640,A033640,A033290,A033290,A033290,A033290,A032500,A032500,A032190,A032190,A032500,A032500,A032500,A032500,A035760,A035760,A035760,A035600,A035760,A035760,A035600,A035600,A035600,A035600,A035600,A035600,A035760,A035760,A035760,A035760,A035760,A035760,A034950,A034950,A034950,A034950,A034950,A034950,A033500,A033500
A023890,A023890,A023890,A023890,A023890,A024660,A024660,A024660,A024660,A024950,A024950,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A027050,A027050,A027050,A027050,A027050,A027050,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A027050,A027050,A027050,A027050,A025980,A025980,A025980,A025980,A025980,A028150,A028300,A028300,A028300,A028300,A028300,A028300,A030530,A030530,A030530,A030530,A030530,A030530,A032500,A032500,A032500,A032500,A032500,A032500,A034230,A034230,A034230,A034230,A034230,A034230,A033640,A033640,A033640,A033640,A034230,A034230,A033640,A033640,A033640,A033640,A033640,A033640,A035080,A035080,A034230,A034230,A034230,A034230,A033640,A033640,A033640,A033640,A033290,A033290,A032500,A032500,A033290,A033290,A033290,A033290,A035900,A035900,A035900,A035760,A035900,A035900,A035760,A035760,A035760,A035760,A035760,A035760,A035900,A035900,A035900,A035900,A035900,A035900,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035760
A024660,A024660,A024660,A024660,A024660,A024950,A024950,A024950,A024950,A025770,A025770,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A028150,A028150,A028150,A028150,A028150,A028150,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028300,A029960,A029960,A029960,A029960,A029960,A029960,A031390,A031390,A031390,A031390,A031390,A031390,A033290,A033290,A033290,A033290,A033290,A033290,A034950,A034950,A034950,A034950,A034950,A034950,A034230,A034230,A034230,A034230,A035600,A035600,A034230,A034230,A034230,A034230,A034230,A034230,A035600,A035600,A035080,A035080,A035080,A035080,A034230,A034230,A034230,A034230,A033640,A033640,A033290,A033290,A033640,A033640,A033640,A033640,A036540,A036540,A036540,A035900,A036540,A036540,A035900,A035900,A035900,A035900,A035900,A035900,A036540,A036540,A036540,A036540,A036540,A036540,A035900,A035900,A035900,A035900,A035900,A035900,A035900,A035900
A024950,A024950,A024950,A024950,A024950,A025770,A025770,A025770,A025770,A025900,A025900,A026960,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A028300,A028300,A028300,A028300,A028300,A028300,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A029960,A030190,A030190,A030190,A030190,A030190,A030190,A032500,A032500,A032500,A032500,A032500,A032500,A033640,A033640,A033640,A033640,A033640,A033640,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A035760,A035760,A035080,A035080,A035080,A035080,A035080,A035080,A035760,A035760,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A034230,A034230,A033640,A033640,A034230,A034230,A034230,A034230,A036810,A036810,A036810,A036540,A036810,A036810,A036540,A036540,A036540,A036540,A036540,A036540,A036810,A036810,A036810,A036810,A036810,A036810,A036540,A036540,A036540,A036540,A036540,A036540,A036540,A036540
A025770,A025770,A025770,A025770,A025770,A025900,A025900,A025900,A025900,A025980,A025980,A027050,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A030520,A030520,A030520,A030520,A030520,A030520,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A030190,A030190,A030190,A030190,A029960,A029960,A029960,A029960,A029960,A030190,A030520,A030520,A030520,A030520,A030520,A030520,A033290,A033290,A033290,A033290,A033290,A033290,A034230,A034230,A034230,A034230,A034230,A034230,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035900,A035900,A035600,A035600,A035600,A035600,A035600,A035600,A035900,A035900,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035600,A035600,A034230,A034230,A035600,A035600,A035600,A035600,A036830,A036830,A036830,A036810,A036830,A036830,A036810,A036810,A036810,A036810,A036810,A036810,A036830,A036830,A036830,A036830,A036830,A036830,A036810,A036810,A036810,A036810,A036810,A036810,A036620,A036620
A025900,A025900,A025900,A025900,A025900,A025980,A025980,A025980,A025980,A026960,A026960,A028150,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A030530,A030530,A030530,A030530,A030530,A030530,A030520,A030520,A030520,A030520,A030520,A030520,A030190,A030190,A030520,A030520,A030520,A030520,A030190,A030190,A030190,A030190,A030190,A030520,A030530,A030530,A030530,A030530,A030530,A030530,A033640,A033640,A033640,A033640,A033640,A033640,A035600,A035600,A035600,A035600,A035600,A035600,A035810,A035810,A035810,A035810,A035810,A035810,A035900,A035900,A035900,A035900,A036490,A036540,A035760,A035760,A035760,A035760,A035760,A035760,A036540,A036540,A035900,A035900,A035900,A035900,A035900,A035900,A035900,A035900,A035760,A035760,A035600,A035600,A035760,A035760,A035760,A035760,A036930,A036930,A036930,A036830,A036930,A036930,A036830,A036830,A036830,A036830,A036830,A036830,A036930,A036930,A036930,A036930,A036930,A036930,A036830,A036830,A036830,A036830,A036830,A036830,A036810,A036810
